epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,30.0968,1.69886,3.17036,1.60347,0.48902,0.45699,0.45829,0.23005,1.53554,2.26095,1.39482,0.00997895,0.00332632,0.00997895,0.00332632,0.00997895,0.00332632,0.00997895,0.00332632
2,51.3936,1.61844,2.18592,1.43847,0.57693,0.45968,0.49255,0.24401,1.59924,1.93293,1.46587,0.0198801,0.00662668,0.0198801,0.00662668,0.0198801,0.00662668,0.0198801,0.00662668
3,70.6967,1.68867,1.94356,1.48687,0.29888,0.26127,0.20417,0.0769,2.12139,2.58727,1.79413,0.0296822,0.00989405,0.0296822,0.00989405,0.0296822,0.00989405,0.0296822,0.00989405
4,89.6228,1.71405,1.81756,1.54179,0.58487,0.52957,0.55504,0.27171,1.62982,1.63441,1.52859,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,108.24,1.69754,1.70769,1.54556,0.54861,0.53226,0.55423,0.27578,1.64513,1.65166,1.52442,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,127.245,1.66546,1.62571,1.51467,0.64913,0.6167,0.66621,0.34275,1.55384,1.4359,1.4433,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,146.133,1.6418,1.54848,1.49028,0.65528,0.61559,0.6505,0.34424,1.53461,1.47496,1.43422,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,164.734,1.62076,1.5412,1.49724,0.62842,0.60693,0.64282,0.33186,1.56765,1.47838,1.48124,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,183.429,1.60791,1.48138,1.47635,0.59808,0.57802,0.6107,0.30683,1.62126,1.49284,1.52248,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,202.141,1.58687,1.43291,1.45627,0.66274,0.64113,0.66019,0.35529,1.54636,1.41307,1.45593,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,221.016,1.56843,1.38996,1.43856,0.6647,0.59951,0.64191,0.35392,1.52146,1.35468,1.42714,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,239.846,1.54921,1.35607,1.42518,0.73047,0.67754,0.72805,0.40728,1.45331,1.25026,1.39455,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,258.514,1.54652,1.34445,1.42804,0.55708,0.53898,0.53987,0.27573,1.6798,1.65637,1.55936,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,277.608,1.52711,1.33004,1.42172,0.71842,0.68928,0.73342,0.40791,1.45043,1.19925,1.39569,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,296.572,1.52147,1.31196,1.41907,0.72175,0.65995,0.70276,0.37869,1.50754,1.32134,1.40831,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,315.185,1.50804,1.26095,1.39864,0.73399,0.71909,0.76984,0.45046,1.3945,1.11562,1.34608,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,333.73,1.4958,1.22895,1.39665,0.63878,0.61156,0.65159,0.35069,1.5191,1.32784,1.47916,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,352.329,1.48252,1.24221,1.39751,0.80195,0.66935,0.77011,0.44589,1.39176,1.14148,1.35371,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,371.079,1.47698,1.21681,1.38768,0.76397,0.74194,0.79155,0.46333,1.35159,1.07319,1.31923,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,389.715,1.46386,1.20236,1.37495,0.73755,0.73522,0.77645,0.45977,1.36501,1.07855,1.33819,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,408.158,1.45619,1.18778,1.369,0.75404,0.74462,0.80707,0.47058,1.39054,1.04648,1.34823,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,426.659,1.43032,1.16212,1.35415,0.79506,0.74194,0.8145,0.47911,1.38203,1.02125,1.34187,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,445.473,1.45314,1.16132,1.37507,0.7617,0.75613,0.8031,0.46831,1.41347,1.07083,1.36403,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,464.962,1.43143,1.14332,1.34951,0.77529,0.72177,0.80026,0.46459,1.38953,1.05056,1.35893,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,483.963,1.42272,1.12087,1.3425,0.72437,0.72849,0.7633,0.43799,1.3931,1.09414,1.34469,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,502.689,1.42402,1.14061,1.3577,0.81878,0.70699,0.81685,0.4747,1.39996,1.01952,1.3517,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,521.546,1.41186,1.10204,1.3489,0.83131,0.72196,0.82371,0.48875,1.33623,0.99048,1.31093,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,540.428,1.39639,1.08934,1.32474,0.79403,0.76344,0.82036,0.48081,1.33275,0.97599,1.30748,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,558.62,1.40109,1.10722,1.33396,0.76871,0.74462,0.80903,0.46321,1.40408,1.02789,1.38676,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,576.867,1.41335,1.08834,1.33474,0.81833,0.74468,0.8149,0.48651,1.34856,0.98171,1.30378,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,595.136,1.3847,1.06196,1.31799,0.78097,0.69892,0.78549,0.44713,1.41568,1.08253,1.36352,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,613.395,1.36477,1.05669,1.30545,0.83672,0.76456,0.83486,0.50256,1.33146,0.93972,1.28916,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,631.705,1.38146,1.06044,1.3149,0.81061,0.71912,0.80637,0.48181,1.37003,1.00425,1.34256,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,649.952,1.36812,1.02745,1.30553,0.80478,0.77285,0.83008,0.49366,1.33401,0.93596,1.29932,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,668.145,1.36772,1.03719,1.30593,0.77172,0.77957,0.82977,0.49387,1.34436,0.98467,1.3126,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,686.458,1.35675,1.03192,1.29832,0.80611,0.78226,0.81656,0.49585,1.33392,0.93208,1.30429,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,704.671,1.35304,1.01204,1.30101,0.78769,0.74597,0.81757,0.4845,1.3436,0.98619,1.32368,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,722.945,1.35273,1.03203,1.302,0.77658,0.75538,0.81285,0.49753,1.31093,0.9758,1.29706,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,741.205,1.34688,1.01445,1.28623,0.79176,0.77419,0.83026,0.5071,1.31461,0.93238,1.28494,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,759.426,1.34551,0.99999,1.29056,0.79399,0.79259,0.84402,0.50751,1.34205,0.91871,1.29718,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,777.725,1.33703,0.98938,1.29682,0.78166,0.75538,0.82157,0.48474,1.37082,1.00645,1.31669,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,795.866,1.32608,0.98408,1.27911,0.82683,0.78292,0.8275,0.49481,1.35533,0.9365,1.31355,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,814.016,1.33134,0.98154,1.27785,0.8383,0.76075,0.82281,0.49984,1.3273,0.93673,1.32,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,832.347,1.32021,0.96244,1.27059,0.85073,0.78226,0.83978,0.50197,1.34345,0.89954,1.30321,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,850.682,1.32194,0.95585,1.27462,0.84476,0.78994,0.84985,0.518,1.32155,0.89898,1.30177,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,868.837,1.31819,0.96477,1.27821,0.80392,0.76613,0.82969,0.50356,1.34081,0.94896,1.29676,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,887.081,1.3179,0.94737,1.26764,0.8356,0.75134,0.84381,0.52495,1.30044,0.90948,1.27347,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,905.361,1.30908,0.92899,1.26033,0.82581,0.79435,0.85515,0.51892,1.28752,0.86521,1.26407,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,923.625,1.28387,0.93642,1.24764,0.80738,0.79439,0.84711,0.51362,1.31293,0.8816,1.2883,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,941.886,1.30022,0.94931,1.26131,0.83448,0.77957,0.85293,0.51971,1.30229,0.8657,1.28583,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,960.142,1.28776,0.92427,1.251,0.80207,0.80376,0.84807,0.51482,1.31779,0.87095,1.29242,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,978.441,1.29609,0.92134,1.25937,0.84735,0.76613,0.85573,0.52387,1.29573,0.86157,1.28382,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,996.607,1.2856,0.91444,1.25394,0.84109,0.76613,0.83806,0.50374,1.30623,0.89328,1.28913,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,1014.87,1.28806,0.91533,1.25001,0.84523,0.77808,0.85405,0.52169,1.29458,0.86162,1.27879,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,1033.12,1.27291,0.8892,1.24052,0.85981,0.7957,0.85869,0.53446,1.28368,0.81929,1.26931,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,1051.33,1.26627,0.89714,1.23633,0.85046,0.78226,0.85308,0.52697,1.30759,0.83458,1.29739,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,1069.54,1.2582,0.88916,1.23821,0.79346,0.82124,0.8554,0.51581,1.32659,0.86604,1.298,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,1087.85,1.25579,0.88223,1.23719,0.86242,0.7836,0.85606,0.5216,1.32222,0.84614,1.30506,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,1106.03,1.26944,0.88767,1.24352,0.83944,0.79435,0.8652,0.52366,1.33227,0.83969,1.31816,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,1124.3,1.26336,0.87927,1.23622,0.86006,0.80951,0.86768,0.52618,1.31129,0.82741,1.27715,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,1142.46,1.24685,0.86739,1.22759,0.84942,0.78898,0.85568,0.52213,1.30502,0.84402,1.29576,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,1160.72,1.24987,0.8689,1.22785,0.83737,0.81664,0.86194,0.5282,1.27748,0.82414,1.28269,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,1178.95,1.25597,0.86253,1.24151,0.85885,0.78091,0.85876,0.5327,1.2954,0.82724,1.2826,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,1197.21,1.2449,0.8487,1.22541,0.8339,0.7895,0.84852,0.51575,1.31124,0.81898,1.31009,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,1215.45,1.25753,0.85332,1.23376,0.81168,0.80523,0.85637,0.52966,1.28665,0.81766,1.27279,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
